0.00000	0.00000	0.00000	0.00000	0.00000	1000.00000
0.00146	0.09570	-1.00977	0.48780	-0.30488	0.18293
0.00488	0.09521	-1.01270	0.54878	-0.18293	0.18293
0.00342	0.09570	-1.01465	0.60976	-0.24390	0.18293
0.00293	0.09814	-1.01465	0.54878	-0.18293	0.18293
0.00195	0.09473	-1.01367	0.54878	-0.30488	0.18293
0.00049	0.09521	-1.01172	0.54878	-0.24390	0.18293
0.00391	0.09521	-1.01172	0.54878	-0.24390	0.12195
0.00146	0.09424	-1.01172	0.54878	-0.24390	0.12195
0.00146	0.09717	-1.01465	0.54878	-0.24390	0.18293
0.00293	0.09619	-1.01270	0.48780	-0.24390	0.24390
0.00244	0.09521	-1.01367	0.54878	-0.18293	0.18293
0.00488	0.09521	-1.01416	0.54878	-0.18293	0.18293
0.00049	0.09424	-1.01318	0.54878	-0.24390	0.18293
0.00293	0.09619	-1.01465	0.54878	-0.30488	0.24390
0.00293	0.09375	-1.01318	0.48780	-0.30488	0.18293
0.00342	0.09424	-1.01367	0.48780	-0.24390	0.18293
0.00293	0.09424	-1.01318	0.48780	-0.24390	0.24390
0.00391	0.09473	-1.01318	0.48780	-0.24390	0.24390
0.00146	0.09473	-1.01416	0.54878	-0.24390	0.12195
0.00293	0.09473	-1.01270	0.48780	-0.18293	0.12195
0.00244	0.09277	-1.01025	0.48780	-0.24390	0.18293
0.00244	0.09570	-1.01660	0.54878	-0.30488	0.24390
0.00195	0.09521	-1.01416	0.48780	-0.24390	0.18293
0.00439	0.09424	-1.01416	0.54878	-0.24390	0.18293
0.00049	0.09521	-1.01270	0.54878	-0.18293	0.18293
0.00293	0.09277	-1.01221	0.54878	-0.18293	0.18293
0.00342	0.09375	-1.01514	0.54878	-0.18293	0.18293
0.00342	0.09570	-1.01172	0.48780	-0.24390	0.18293
0.00244	0.09180	-1.01465	0.54878	-0.24390	0.12195
0.00439	0.09521	-1.01123	0.48780	-0.24390	0.12195
0.00098	0.09326	-1.01318	0.48780	-0.18293	0.18293
0.00195	0.09570	-1.01514	0.54878	-0.18293	0.18293
0.00049	0.09277	-1.01514	0.54878	-0.18293	0.18293
0.00439	0.09424	-1.01123	0.48780	-0.24390	0.18293
0.00537	0.09619	-1.01270	0.54878	-0.30488	0.18293
0.00195	0.09473	-1.01270	0.54878	-0.30488	0.18293
0.00293	0.09570	-1.01367	0.54878	-0.18293	0.18293
